,accuracy,average_loss,cell0_size,cell1_size,cell2_size,cell3_size,cell4_size,cell5_size,cell6_size,conv,degree_of_convexity,global_step,loss,num_epochs,num_labels,temp
81,0.727899968624,0.82730358839,1426,1550,806,627,1905,1277,1670,0.25,0.760282109611,1875,1918.51708984,6,7,0.001
82,0.540319085121,1.84950172901,190,1007,2714,333,3637,454,926,0.5,0.659926341303,3580,4288.99462891,6,7,0.001
83,0.53537529707,1.97380769253,893,303,1080,220,725,4430,1610,0.75,0.900585430775,4361,4575.28613281,6,7,0.001
84,0.619499564171,1.51317095757,705,588,2393,1192,3564,705,114,1.0,0.925491970298,3509,3507.53027344,6,7,0.001
85,0.570935726166,1.89540445805,2013,829,696,1165,1533,1048,1977,0.0,0.703189895708,1981,4395.44287109,6,7,0.0005
86,0.260025858879,4.79016447067,4154,1957,548,2009,95,309,189,0.25,0.592437007339,4089,11108.3916016,6,7,0.0005
87,0.717860221863,0.909157752991,3754,1370,379,1572,654,1197,335,0.5,0.810906162199,3695,2107.42773438,6,7,0.0005
88,0.573834180832,1.92611265182,1359,384,268,1272,3888,940,1150,0.75,0.797381901394,3828,4460.87695312,6,7,0.0005
89,0.49784296751,1.94157791138,1598,1561,3440,31,199,1961,471,1.0,0.957371054701,3387,4500.57763672,6,7,0.0005
90,0.139835998416,2.02058339119,1275,1373,1304,1382,1296,1324,1307,0.0,0.151328916742,1360,4681.69189453,6,7,5.0
91,0.205260887742,2.8511505127,793,1502,1890,2214,588,1001,1273,0.25,0.18626190119,2179,6611.81787109,6,7,5.0
92,0.187230378389,4.41444301605,483,296,3629,121,964,1462,2306,0.5,0.314186335493,3572,10232.6787109,6,7,5.0
93,0.553925812244,1.60490095615,220,189,736,2645,4064,893,514,0.75,0.465181663009,4001,3720.16040039,6,7,5.0
94,0.609145820141,1.58678114414,58,113,90,1038,6672,1235,55,1.0,0.756506872251,6568,3678.15869141,6,7,5.0
95,0.146246761084,2.90161418915,1337,1283,1333,1367,1249,1320,1372,0.0,0.152598600943,1351,6725.94189453,6,7,1.0
96,0.113028474152,2.4490776062,1887,537,1484,2335,1014,725,1279,0.25,0.189156397479,2299,5676.96191406,6,7,1.0
